symbol,name,currency,summary,category_group,category,exchange,mic
002G.Z,ESTX LR100 NR EUR,EUR,"The ESTX LR100 NR EUR index represents the performance of 100 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002H.Z,ESTX LR100 NR USD,USD,"The ESTX LR100 NR USD index represents the performance of 100 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002J.Z,ESTX LR100 PR EUR,EUR,"The ESTX LR100 PR EUR index represents the performance of 100 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002K.Z,ESTX LR100 PR USD,USD,"The ESTX LR100 PR USD index represents the performance of 100 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002L.Z,ESTX LR150 GR EUR,EUR,"The ESTX LR150 GR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002M.Z,ESTX LR150 GR USD,USD,"The ESTX LR150 GR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002N.Z,ESTX LR150 NR EUR,EUR,"The ESTX LR150 NR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002P.Z,ESTX LR150 NR USD,USD,"The ESTX LR150 NR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002Q.Z,ESTX LR150 PR EUR,EUR,"The ESTX LR150 PR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002R.Z,ESTX LR150 PR USD,USD,"The ESTX LR150 PR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002S.Z,ESTX LRB30 GR EUR,EUR,"The ESTX LRB30 GR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002T.Z,ESTX LRB30 GR USD,USD,"The ESTX LRB30 GR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002U.Z,ESTX LRB30 NR EUR,EUR,"The ESTX LRB30 NR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002V.Z,ESTX LRB30 NR USD,USD,"The ESTX LRB30 NR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002W.Z,ESTX LRB30 PR EUR,EUR,"The ESTX LRB30 PR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002X.Z,ESTX LRB30 PR USD,USD,"The ESTX LRB30 PR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
002Y.Z,ESTX LRB50 GR EUR,EUR,"The ESTX LRB50 GR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equities,Large Cap,ZRH,XSWX
002Z.Z,ESTX LRB50 GR USD,USD,"The ESTX LRB50 GR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equities,Large Cap,ZRH,XSWX
0065.Z,STXE LOW CARB.50 EW PR EO,,"The STXE LOW CARB.50 EW PR EO index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in EUR. The index uses end-of-day data.",Equities,Equities,ZRH,XSWX
0066.Z,STXE LOW CARB.50 EW PR DL,,"The STXE LOW CARB.50 EW PR DL index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in USD. The index uses delayed data.",Equities,Equities,ZRH,XSWX
0067.Z,STXE LOW CARB.50 EW NR EO,,"The STXE LOW CARB.50 EW NR EO index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in EUR. The index uses end-of-day data.",Equities,Equities,ZRH,XSWX
0068.Z,STXE LOW CARB.50 EW NR DL,,"The STXE LOW CARB.50 EW NR DL index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in USD. The index uses delayed data.",Equities,Equities,ZRH,XSWX
006A.Z,ESTX REP.LOW CARBON PR DL,,"The ESTX REP.LOW CARBON PR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a price return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equities,Equities,ZRH,XSWX
006B.Z,ESTX REP.LOW CARBON NR EO,,"The ESTX REP.LOW CARBON NR EO index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a net return index denominated in EUR, utilizing end-of-day data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equities,Equities,ZRH,XSWX
006C.Z,ESTX REP.LOW CARBON NR DL,,"The ESTX REP.LOW CARBON NR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a net return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equities,Equities,ZRH,XSWX
006E.Z,ESTX REP.LOW CARBON GR DL,,"The ESTX REP.LOW CARBON GR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a gross return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equities,Equities,ZRH,XSWX
006T.Z,STXE L.CARB.100 EW PR EO,,"The STXE L.CARB.100 EW PR EO index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in EUR. The index uses end-of-day data.",Equities,Equities,ZRH,XSWX
006U.Z,STXE L.CARB.100 EW PR DL,,"The STXE L.CARB.100 EW PR DL index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in USD. The index uses delayed data.",Equities,Equities,ZRH,XSWX
006V.Z,STXE L.CARB.100 EW NR EO,,"The STXE L.CARB.100 EW NR EO index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in EUR. The index uses end-of-day data.",Equities,Equities,ZRH,XSWX
006W.Z,STXE L.CARB.100 EW NR DL,,"The STXE L.CARB.100 EW NR DL index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in USD. The index uses delayed data.",Equities,Equities,ZRH,XSWX
006X.Z,STXE L.CARB.100 EW GR EO,,"The STXE L.CARB.100 EW GR EO index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes, and is denominated in EUR. The index uses end-of-day data.",Equities,Equities,ZRH,XSWX
006Y.Z,STXE LO.CARB.100 EW GR DL,,"The STXE LO.CARB.100 EW GR DL index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes, and is denominated in USD. The index uses delayed data.",Equities,Equities,ZRH,XSWX
0091.Z,STX.EME.MAR. 800 LO GR EO,,"The STX.EME.MAR. 800 LO GR EO index represents the performance of 800 companies in Emerging Markets with low volatility. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes, and is denominated in EUR. The index uses end-of-day data.",Equities,Emerging Markets,ZRH,XSWX
0092.Z,STX.EME.MAR. 800 LO PR DL,,"The STX.EME.MAR. 800 LO PR DL index represents the performance of 800 companies in Emerging Markets with low volatility. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in USD. The index uses delayed data.",Equities,Emerging Markets,ZRH,XSWX
0093.Z,STX.EME.MAR. 800 LO NR DL,,"The STX.EME.MAR. 800 LO NR DL index represents the performance of 800 companies in Emerging Markets with low volatility. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in USD. The index uses delayed data.",Equities,Emerging Markets,ZRH,XSWX
0094.Z,STX.EME.MAR. 800 LO GR DL,,"The STX.EME.MAR. 800 LO GR DL index represents the performance of 800 companies in Emerging Markets with low volatility. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes, and is denominated in USD. The index uses delayed data.",Equities,Emerging Markets,ZRH,XSWX
0096.Z,ISTX M.G.EX J.Q.D250NR EO,,,,,ZRH,XSWX
0097.Z,ISTX M.G.EX J.Q.D250GR EO,,,,,ZRH,XSWX
0098.Z,ISTX M.G.EX A.Q.D300PR DL,,,,,ZRH,XSWX
0099.Z,ISTX M.G.EX A.Q.D300NR DL,,,,,ZRH,XSWX
009L.Z,STX EM 800 LO MIN.VAR.GR,,,,,ZRH,XSWX
009M.Z,STX EM 800 LO MIN.VAR.NR,,,,,ZRH,XSWX
009N.Z,STX EM 800 LO MIN.VAR.PR,,,,,ZRH,XSWX
009P.Z,STX EM 800 LO MIN.VAR.GR,,,,,ZRH,XSWX
009R.Z,STX EM 800 LO MIN.VAR.PR,,,,,ZRH,XSWX
009S.Z,STX EM 800 LO MIN.VAR.GR,,,,,ZRH,XSWX
009T.Z,STX EM 800 LO MIN.VAR.PR,,,,,ZRH,XSWX
009U.Z,STX EM 800 LO MIN.VAR.PR,,,,,ZRH,XSWX
009X.Z,STX EM 800 LO MIN.VAR.PR,,,,,ZRH,XSWX
009Y.Z,STX.EME.MAR. 800 LO PR EO,,"The STX.EME.MAR. 800 LO PR EO index represents the performance of 800 companies in Emerging Markets with low volatility. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in EUR. The index uses end-of-day data.",Equities,Emerging Markets,ZRH,XSWX
009Z.Z,STX.EME.MAR. 800 LO NR EO,,"The STX.EME.MAR. 800 LO NR EO index represents the performance of 800 companies in Emerging Markets with low volatility. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in EUR. The index uses end-of-day data.",Equities,Emerging Markets,ZRH,XSWX
00A0.Z,STX GLB.CLI.CH.LEAD.NR EO,,,,,ZRH,XSWX
00A1.Z,STX GLB.CLI.CH.LEAD.NR DL,,,,,ZRH,XSWX
00A2.Z,STX GLB.CLI.CH.LEAD.GR EO,,,,,ZRH,XSWX
00A3.Z,STX GLB.CLI.CH.LEAD.GR DL,,,,,ZRH,XSWX
00A4.Z,STX G.L.CARB.100 EW PR EO,,,,,ZRH,XSWX
00A5.Z,STX G.L.CARB.100 EW PR DL,,,,,ZRH,XSWX
00A6.Z,STX G.L.CARB.100 EW NR EO,,,,,ZRH,XSWX
00A7.Z,STX G.L.CARB.100 EW NR DL,,,,,ZRH,XSWX
00A8.Z,STX G.L.CARB.100 EW GR EO,,,,,ZRH,XSWX
00A9.Z,STX G.L.CARB.100 EW GR DL,,,,,ZRH,XSWX
00AB.Z,STX G.1800E.EU.L.CA.PR EO,,,,,ZRH,XSWX
00AC.Z,STX G.1800E.EU.L.CA.PR DL,,,,,ZRH,XSWX
00AD.Z,STX G.1800E.EU.L.CA.NR EO,,,,,ZRH,XSWX
00AE.Z,STX G.1800E.EU.L.CA.NR DL,,,,,ZRH,XSWX
00AF.Z,STX G.1800E.EU.L.CA.GR EO,,,,,ZRH,XSWX
00AG.Z,STX G.1800E.EU.L.CA.GR DL,,,,,ZRH,XSWX
00AH.Z,STX G.1800E.JA.L.CA.PR EO,,,,,ZRH,XSWX
00AJ.Z,STX G.1800E.JA.L.CA.PR DL,,,,,ZRH,XSWX
00AK.Z,STX G.1800E.JA.L.CA.PR YN,,,,,ZRH,XSWX
00AL.Z,STX G.1800E.JA.L.CA.NR EO,,,,,ZRH,XSWX
00AM.Z,STX G.1800E.JA.L.CA.NR DL,,,,,ZRH,XSWX
00AN.Z,STX G.1800E.JA.L.CA.NR YN,,,,,ZRH,XSWX
00AP.Z,STX G.1800E.JA.L.CA.GR EO,,,,,ZRH,XSWX
00AQ.Z,STX G.1800E.JA.L.CA.GR DL,,,,,ZRH,XSWX
00AR.Z,STX G.1800E.JA.L.CA.GR YN,,,,,ZRH,XSWX
00AS.Z,STX G.1800E.US.L.CA.PR EO,,,,,ZRH,XSWX
00AT.Z,STX G.1800E.US.L.CA.PR DL,,,,,ZRH,XSWX
00AU.Z,STX G.1800E.US.L.CA.NR EO,,,,,ZRH,XSWX
00AV.Z,STX G.1800E.US.L.CA.NR DL,,,,,ZRH,XSWX
00AW.Z,STX G.1800E.US.L.CA.GR EO,,,,,ZRH,XSWX
00AX.Z,STX G.1800E.US.L.CA.GR DL,,,,,ZRH,XSWX
00AY.Z,STX GLB.CLI.CH.LEAD.PR EO,,,,,ZRH,XSWX
00AZ.Z,STX GLB.CLI.CH.LEAD.PR DL,,,,,ZRH,XSWX
00C0.Z,STX GLB.REP.L.CARB.PR EO,,,,,ZRH,XSWX
00C1.Z,STX GLB.REP.L.CARB.PR DL,,,,,ZRH,XSWX
00C2.Z,STX GLB.REP.L.CARB.NR EO,,,,,ZRH,XSWX
00C3.Z,STX GLB.REP.L.CARB.NR DL,,,,,ZRH,XSWX
00C4.Z,STX GLB.REP.L.CARB.GR EO,,,,,ZRH,XSWX
00C5.Z,STX GLB.REP.L.CARB.GR DL,,,,,ZRH,XSWX
00C6.Z,STX GLB.REP.L.CARB.PR YN,,,,,ZRH,XSWX
00C7.Z,STX GLB.REP.L.CARB.NR YN,,,,,ZRH,XSWX
00C8.Z,STX GLB.REP.L.CARB.GR YN,,,,,ZRH,XSWX
00C9.Z,STX USA LO.CA.50 EW PR EO,,"The STX USA LO.CA.50 EW PR EO Index aims to represent the performance of 50 U.S. companies with low carbon exposure, selected and equally weighted. It focuses on companies that are contributing less to carbon emissions within the U.S. market.",Equities,,ZRH,XSWX
00CA.Z,STX GL.LOW CARB.100 PR EO,,"The STX GL.LOW CARB.100 PR EO Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CB.Z,STX GL.LOW CARB.100 PR DL,,"The STX GL.LOW CARB.100 PR DL Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CC.Z,STX GL.LOW CARB.100 NR EO,,"The STX GL.LOW CARB.100 NR EO Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CD.Z,STX GL.LOW CARB.100 NR DL,,"The STX GL.LOW CARB.100 NR DL Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CE.Z,STX GL.LOW CARB.100 GR EO,,"The STX GL.LOW CARB.100 GR EO Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CF.Z,STX GL.LOW CARB.100 GR DL,,"The STX GL.LOW CARB.100 GR DL Index aims to represent the performance of 100 global companies with low carbon exposure. The index selects companies that have lower carbon emissions compared to their peers, on a global scale.",Equities,,ZRH,XSWX
00CG.Z,STX GLB.L.CA.400 EW PR EO,,"The STX GLB.L.CA.400 EW PR EO Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CH.Z,STX GLB.L.CA.400 EW PR DL,,"The STX GLB.L.CA.400 EW PR DL Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CJ.Z,STX GLB.L.CA.400 EW NR EO,,"The STX GLB.L.CA.400 EW NR EO Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CK.Z,STX GLB.L.CA.400 EW NR DL,,"The STX GLB.L.CA.400 EW NR DL Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CL.Z,STX GLB.L.CA.400 EW GR EO,,"The STX GLB.L.CA.400 EW GR EO Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CM.Z,STX GLB.L.CA.400 EW GR DL,,"The STX GLB.L.CA.400 EW GR DL Index aims to track the performance of 400 global companies with low carbon exposure, equally weighted. It focuses on companies that are contributing less to carbon emissions on a global level.",Equities,,ZRH,XSWX
00CN.Z,STX GLB.LOW CAR.400 PR EO,,The STX GLB.LOW CAR.400 PR EO Index tracks the performance of 400 global companies with low carbon emissions. The index aims to represent companies with reduced carbon footprint.,Equities,,ZRH,XSWX
