symbol,name,base_currency,quote_currency,summary,exchange
ANG=X,USD/ANG,USD,ANG,The exchange rate between the United States Dollar (USD) and the Netherlands Antillean Guilder (ANG). It reflects how many ANG can be purchased with one USD.,CCY
ANGBRX=X,ANG/BRX,ANG,BRX,The exchange rate between the Netherlands Antillean Guilder (ANG) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one ANG. The rate reflects the relative value of the ANG compared to the BRX currency basket.,CCY
ANGEUR=X,ANG/EUR,ANG,EUR,The exchange rate between the Netherlands Antillean Guilder (ANG) and the Euro (EUR). It reflects how many EUR can be purchased with one ANG.,CCY
ANGSRD=X,ANG/SRD,ANG,SRD,The exchange rate between the Netherlands Antillean Guilder (ANG) and the Surinamese Dollar (SRD). It indicates how many SRD are needed to purchase one ANG. The rate reflects the relative value of the ANG compared to the SRD.,CCY
ANGUSD=X,ANG/USD,ANG,USD,The exchange rate between the Netherlands Antillean Guilder (ANG) and the United States Dollar (USD). It reflects how many USD can be purchased with one ANG.,CCY
ANGZAR=X,ANG/ZAR,ANG,ZAR,The exchange rate between the Netherlands Antillean Guilder (ANG) and the South African Rand (ZAR). It reflects how many ZAR can be purchased with one ANG.,CCY
AOA=X,USD/AOA,USD,AOA,The exchange rate between the United States Dollar (USD) and the Angolan Kwanza (AOA). It reflects how many AOA can be purchased with one USD.,CCY
AOABRX=X,AOA/BRX,AOA,BRX,The exchange rate between the Angolan Kwanza (AOA) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one AOA. The rate reflects the relative value of the AOA compared to the BRX currency basket.,CCY
AOAUSD=X,AOA/USD,AOA,USD,The exchange rate between the Angolan Kwanza (AOA) and the United States Dollar (USD). It reflects how many USD can be purchased with one AOA.,CCY
ARS=X,USD/ARS,USD,ARS,The exchange rate between the United States Dollar (USD) and the Argentine Peso (ARS). It reflects how many ARS can be purchased with one USD.,CCY
ARSBRL=X,ARS/BRL,ARS,BRL,The exchange rate between the Argentine Peso (ARS) and the Brazilian Real (BRL). It reflects how many BRL can be purchased with one ARS.,CCY
ARSBRX=X,ARS/BRX,ARS,BRX,The exchange rate between the Argentine Peso (ARS) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one ARS. The rate reflects the relative value of the ARS compared to the BRX currency basket.,CCY
ARSEUR=X,ARS/EUR,ARS,EUR,The exchange rate between the Argentine Peso (ARS) and the Euro (EUR). It reflects how many EUR can be purchased with one ARS.,CCY
ARSGBP=X,ARS/GBP,ARS,GBP,The exchange rate between the Argentine Peso (ARS) and the British Pound (GBP). It reflects how many GBP can be purchased with one ARS.,CCY
ARSJPY=X,ARS/JPY,ARS,JPY,The exchange rate between the Argentine Peso (ARS) and the Japanese Yen (JPY). It reflects how many JPY can be purchased with one ARS.,CCY
ARSUSD=X,ARS/USD,ARS,USD,The exchange rate between the Argentine Peso (ARS) and the United States Dollar (USD). It reflects how many USD can be purchased with one ARS.,CCY
ARSXCU=X,ARS/XCU,ARS,XCU,The exchange rate between the Argentine Peso (ARS) and the Andean Peso (XCU). It indicates how many XCU are needed to purchase one ARS. The rate reflects the relative value of the ARS compared to the XCU.,CCY
AUD=X,USD/AUD,USD,AUD,The exchange rate between the United States Dollar (USD) and the Australian Dollar (AUD). It reflects how many AUD can be purchased with one USD.,CCY
AUDAED=X,AUD/AED,AUD,AED,The exchange rate between the Australian Dollar (AUD) and the United Arab Emirates Dirham (AED). It reflects how many AED can be purchased with one AUD.,CCY
AUDANG=X,AUD/ANG,AUD,ANG,The exchange rate between the Australian Dollar (AUD) and the Netherlands Antillean Guilder (ANG). It reflects how many ANG can be purchased with one AUD.,CCY
AUDARS=X,AUD/ARS,AUD,ARS,The exchange rate between the Australian Dollar (AUD) and the Argentine Peso (ARS). It reflects how many ARS can be purchased with one AUD.,CCY
AUDAWG=X,AUD/AWG,AUD,AWG,The exchange rate between the Australian Dollar (AUD) and the Aruban Florin (AWG). It indicates how many AWG are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the AWG.,CCY
AUDBAM=X,AUD/BAM,AUD,BAM,The exchange rate between the Australian Dollar (AUD) and the Bosnia-Herzegovina Convertible Mark (BAM). It indicates how many BAM are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BAM.,CCY
AUDBBD=X,AUD/BBD,AUD,BBD,The exchange rate between the Australian Dollar (AUD) and the Barbadian Dollar (BBD). It indicates how many BBD are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BBD.,CCY
AUDBHD=X,AUD/BHD,AUD,BHD,The exchange rate between the Australian Dollar (AUD) and the Bahraini Dinar (BHD). It indicates how many BHD are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BHD.,CCY
AUDBMD=X,AUD/BMD,AUD,BMD,The exchange rate between the Australian Dollar (AUD) and the Bermudian Dollar (BMD). It indicates how many BMD are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BMD.,CCY
AUDBOB=X,AUD/BOB,AUD,BOB,The exchange rate between the Australian Dollar (AUD) and the Bolivian Boliviano (BOB). It indicates how many BOB are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BOB.,CCY
AUDBRL=X,AUD/BRL,AUD,BRL,The exchange rate between the Australian Dollar (AUD) and the Brazilian Real (BRL). It reflects how many BRL can be purchased with one AUD.,CCY
AUDBRX=X,AUD/BRX,AUD,BRX,The exchange rate between the Australian Dollar (AUD) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BRX currency basket.,CCY
AUDBSD=X,AUD/BSD,AUD,BSD,The exchange rate between the Australian Dollar (AUD) and the Bahamian Dollar (BSD). It indicates how many BSD are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BSD.,CCY
AUDBWP=X,AUD/BWP,AUD,BWP,The exchange rate between the Australian Dollar (AUD) and the Botswanan Pula (BWP). It indicates how many BWP are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BWP.,CCY
AUDBZD=X,AUD/BZD,AUD,BZD,The exchange rate between the Australian Dollar (AUD) and the Belize Dollar (BZD). It indicates how many BZD are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the BZD.,CCY
AUDCAD=X,AUD/CAD,AUD,CAD,The exchange rate between the Australian Dollar (AUD) and the Canadian Dollar (CAD). It reflects how many CAD can be purchased with one AUD.,CCY
AUDCAX=X,AUD/CAX,AUD,CAX,,CCY
AUDCHF=X,AUD/CHF,AUD,CHF,The exchange rate between the Australian Dollar (AUD) and the Swiss Franc (CHF). It reflects how many CHF can be purchased with one AUD.,CCY
AUDCLP=X,AUD/CLP,AUD,CLP,The exchange rate between the Australian Dollar (AUD) and the Chilean Peso (CLP). It reflects how many CLP can be purchased with one AUD.,CCY
AUDCNH=X,AUD/CNH,AUD,CNH,The exchange rate between the Australian Dollar (AUD) and the Chinese Yuan Renminbi (CNH) traded in Hong Kong. It reflects how many CNH can be purchased with one AUD.,CCY
AUDCNY=X,AUD/CNY,AUD,CNY,The exchange rate between the Australian Dollar (AUD) and the Chinese Yuan Renminbi (CNY). It reflects how many CNY can be purchased with one AUD.,CCY
AUDCOP=X,AUD/COP,AUD,COP,The exchange rate between the Australian Dollar (AUD) and the Colombian Peso (COP). It reflects how many COP can be purchased with one AUD.,CCY
AUDCRC=X,AUD/CRC,AUD,CRC,The exchange rate between the Australian Dollar (AUD) and the Costa Rican Colón (CRC). It reflects how many CRC can be purchased with one AUD.,CCY
AUDCZK=X,AUD/CZK,AUD,CZK,The exchange rate between the Australian Dollar (AUD) and the Czech Koruna (CZK). It reflects how many CZK can be purchased with one AUD.,CCY
AUDCZX=X,AUD/CZX,AUD,CZX,,CCY
AUDDKK=X,AUD/DKK,AUD,DKK,The exchange rate between the Australian Dollar (AUD) and the Danish Krone (DKK). It reflects how many DKK can be purchased with one AUD.,CCY
AUDDKX=X,AUD/DKX,AUD,DKX,,CCY
AUDDOP=X,AUD/DOP,AUD,DOP,The exchange rate between the Australian Dollar (AUD) and the Dominican Peso (DOP). It reflects how many DOP can be purchased with one AUD.,CCY
AUDEGP=X,AUD/EGP,AUD,EGP,The exchange rate between the Australian Dollar (AUD) and the Egyptian Pound (EGP). It reflects how many EGP can be purchased with one AUD.,CCY
AUDERN=X,AUD/ERN,AUD,ERN,The exchange rate between the Australian Dollar (AUD) and the Eritrean Nakfa (ERN). It indicates how many ERN are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the ERN.,CCY
AUDEUR=X,AUD/EUR,AUD,EUR,The exchange rate between the Australian Dollar (AUD) and the Euro (EUR). It reflects how many EUR can be purchased with one AUD.,CCY
AUDFJD=X,AUD/FJD,AUD,FJD,The exchange rate between the Australian Dollar (AUD) and the Fijian Dollar (FJD). It reflects how many FJD can be purchased with one AUD.,CCY
AUDGBP=X,AUD/GBP,AUD,GBP,The exchange rate between the Australian Dollar (AUD) and the British Pound (GBP). It reflects how many GBP can be purchased with one AUD.,CCY
AUDGHS=X,AUD/GHS,AUD,GHS,The exchange rate between the Australian Dollar (AUD) and the Ghanaian Cedi (GHS). It reflects how many GHS can be purchased with one AUD.,CCY
AUDGIP=X,AUD/GIP,AUD,GIP,The exchange rate between the Australian Dollar (AUD) and the Gibraltar Pound (GIP). It reflects how many GIP can be purchased with one AUD.,CCY
AUDGTQ=X,AUD/GTQ,AUD,GTQ,The exchange rate between the Australian Dollar (AUD) and the Guatemalan Quetzal (GTQ). It reflects how many GTQ can be purchased with one AUD.,CCY
AUDHKD=X,AUD/HKD,AUD,HKD,The exchange rate between the Australian Dollar (AUD) and the Hong Kong Dollar (HKD). It reflects how many HKD can be purchased with one AUD.,CCY
AUDHNL=X,AUD/HNL,AUD,HNL,The exchange rate between the Australian Dollar (AUD) and the Honduran Lempira (HNL). It reflects how many HNL can be purchased with one AUD.,CCY
AUDHRK=X,AUD/HRK,AUD,HRK,The exchange rate between the Australian Dollar (AUD) and the Croatian Kuna (HRK). It reflects how many HRK can be purchased with one AUD.,CCY
AUDHRX=X,AUD/HRX,AUD,HRX,,CCY
AUDHUF=X,AUD/HUF,AUD,HUF,The exchange rate between the Australian Dollar (AUD) and the Hungarian Forint (HUF). It reflects how many HUF can be purchased with one AUD.,CCY
AUDHUX=X,AUD/HUX,AUD,HUX,,CCY
AUDIDR=X,AUD/IDR,AUD,IDR,The exchange rate between the Australian Dollar (AUD) and the Indonesian Rupiah (IDR). It reflects how many IDR can be purchased with one AUD.,CCY
AUDILS=X,AUD/ILS,AUD,ILS,The exchange rate between the Australian Dollar (AUD) and the Israeli New Shekel (ILS). It reflects how many ILS can be purchased with one AUD.,CCY
AUDINR=X,AUD/INR,AUD,INR,The exchange rate between the Australian Dollar (AUD) and the Indian Rupee (INR). It reflects how many INR can be purchased with one AUD.,CCY
AUDISK=X,AUD/ISK,AUD,ISK,"The exchange rate between the Australian Dollar (AUD) and the Icelandic Króna (ISK), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Iceland. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDJMD=X,AUD/JMD,AUD,JMD,"The exchange rate between the Australian Dollar (AUD) and the Jamaican Dollar (JMD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Jamaica. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDJOD=X,AUD/JOD,AUD,JOD,"The exchange rate between the Australian Dollar (AUD) and the Jordanian Dinar (JOD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Jordan. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDJPY=X,AUD/JPY,AUD,JPY,"The exchange rate between the Australian Dollar (AUD) and the Japanese Yen (JPY), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Japan. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDKES=X,AUD/KES,AUD,KES,"The exchange rate between the Australian Dollar (AUD) and the Kenyan Shilling (KES), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Kenya. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDKRW=X,AUD/KRW,AUD,KRW,"The exchange rate between the Australian Dollar (AUD) and the South Korean Won (KRW), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and South Korea. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDKWD=X,AUD/KWD,AUD,KWD,"The exchange rate between the Australian Dollar (AUD) and the Kuwaiti Dinar (KWD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Kuwait. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDKYD=X,AUD/KYD,AUD,KYD,"The exchange rate between the Australian Dollar (AUD) and the Cayman Islands Dollar (KYD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and the Cayman Islands. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDLKR=X,AUD/LKR,AUD,LKR,"The exchange rate between the Australian Dollar (AUD) and the Sri Lankan Rupee (LKR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Sri Lanka. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDMAD=X,AUD/MAD,AUD,MAD,"The exchange rate between the Australian Dollar (AUD) and the Moroccan Dirham (MAD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Morocco. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDMGA=X,AUD/MGA,AUD,MGA,"The exchange rate between the Australian Dollar (AUD) and the Malagasy Ariary (MGA), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Madagascar. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDMXN=X,AUD/MXN,AUD,MXN,"The exchange rate between the Australian Dollar (AUD) and the Mexican Peso (MXN), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Mexico. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDMYR=X,AUD/MYR,AUD,MYR,"The exchange rate between the Australian Dollar (AUD) and the Malaysian Ringgit (MYR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Malaysia. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDMYX=X,AUD/MYX,AUD,MYX,The exchange rate between the Australian Dollar (AUD) and the Malaysian Ringgit (MYR). It indicates how many MYR are needed to purchase one AUD. The rate reflects the relative value of the AUD compared to the MYR.,CCY
AUDNGN=X,AUD/NGN,AUD,NGN,"The exchange rate between the Australian Dollar (AUD) and the Nigerian Naira (NGN), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Nigeria. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDNOK=X,AUD/NOK,AUD,NOK,"The exchange rate between the Australian Dollar (AUD) and the Norwegian Krone (NOK), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Norway. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDNZD=X,AUD/NZD,AUD,NZD,"The exchange rate between the Australian Dollar (AUD) and the New Zealand Dollar (NZD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and New Zealand. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDOMR=X,AUD/OMR,AUD,OMR,"The exchange rate between the Australian Dollar (AUD) and the Omani Rial (OMR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Oman. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPEN=X,AUD/PEN,AUD,PEN,"The exchange rate between the Australian Dollar (AUD) and the Peruvian Sol (PEN), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Peru. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPGK=X,AUD/PGK,AUD,PGK,"The exchange rate between the Australian Dollar (AUD) and the Papua New Guinean Kina (PGK), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Papua New Guinea. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPHP=X,AUD/PHP,AUD,PHP,"The exchange rate between the Australian Dollar (AUD) and the Philippine Peso (PHP), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and the Philippines. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPKR=X,AUD/PKR,AUD,PKR,"The exchange rate between the Australian Dollar (AUD) and the Pakistani Rupee (PKR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Pakistan. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPLN=X,AUD/PLN,AUD,PLN,"The exchange rate between the Australian Dollar (AUD) and the Polish Zloty (PLN), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Poland. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDPLX=X,AUD/PLX,AUD,PLX,,CCY
AUDPYG=X,AUD/PYG,AUD,PYG,"The exchange rate between the Australian Dollar (AUD) and the Paraguayan Guarani (PYG), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Paraguay. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDQAR=X,AUD/QAR,AUD,QAR,"The exchange rate between the Australian Dollar (AUD) and the Qatari Riyal (QAR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Qatar. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDRSD=X,AUD/RSD,AUD,RSD,"The exchange rate between the Australian Dollar (AUD) and the Serbian Dinar (RSD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Serbia. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDRUB=X,AUD/RUB,AUD,RUB,"The exchange rate between the Australian Dollar (AUD) and the Russian Ruble (RUB), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Russia. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDRUX=X,AUD/RUX,AUD,RUX,,CCY
AUDSAR=X,AUD/SAR,AUD,SAR,"The exchange rate between the Australian Dollar (AUD) and the Saudi Riyal (SAR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Saudi Arabia. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDSCR=X,AUD/SCR,AUD,SCR,"The exchange rate between the Australian Dollar (AUD) and the Seychellois Rupee (SCR), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Seychelles. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDSEK=X,AUD/SEK,AUD,SEK,"The exchange rate between the Australian Dollar (AUD) and the Swedish Krona (SEK), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Sweden. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDSGD=X,AUD/SGD,AUD,SGD,"The exchange rate between the Australian Dollar (AUD) and the Singapore Dollar (SGD), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Singapore. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDSVC=X,AUD/SVC,AUD,SVC,"The exchange rate between the Australian Dollar (AUD) and the Salvadoran Colón (SVC), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and El Salvador. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
AUDSYP=X,AUD/SYP,AUD,SYP,"The exchange rate between the Australian Dollar (AUD) and the Syrian Pound (SYP), reflecting the relative value of the two currencies in the foreign exchange market. Currency exchange rates are influenced by various economic factors, including interest rates, inflation, and political stability in Australia and Syria. It is a tool used for international trade, investment, and tourism between the two countries.",CCY
