symbol,name,currency,summary,family,exchange
ABZXX,American Funds U.S. Government Money Market Fund,USD,"American Funds U.S. Government Money Market Fund is a money market fund offered by American Funds. The fund invests in short-term U.S. government securities, aiming to provide current income, liquidity, and stability of principal. It is designed for investors seeking a safe and easily accessible investment option.",,NAS
ACAXX,Prime Money Market Fund,USD,"Prime Money Market Fund is a money market fund that aims to provide current income consistent with preserving capital and maintaining liquidity. The fund typically invests in a variety of high-quality, short-term money market instruments. The specific investment advisor and details of the fund would need to be confirmed via official fund documentation.",American Century Investment Trust,NAS
ACNXX,Government Money Market Fund,USD,Government Money Market Fund is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government or its agencies. The fund aims to provide current income consistent with the preservation of capital and liquidity. The specific fund details would need to be confirmed via official fund documentation.,AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
ACXXX,Government Money Market Fund,USD,Government Money Market Fund is a money market fund focused on providing current income while preserving capital and maintaining liquidity. The fund invests primarily in short-term securities issued or guaranteed by the U.S. government and its agencies. Specific details would be found in the fund's official documentation.,AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
ACZXX,Government Money Market Fund,USD,"Government Money Market Fund is a money market fund that seeks to provide investors with current income, capital preservation, and liquidity. The fund generally invests in high-quality, short-term securities issued or guaranteed by the U.S. government and its agencies. Additional details can be found in the fund's prospectus.",AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
ADAXX,Government Money Market Fund,USD,Government Money Market Fund is designed to provide current income consistent with maintaining capital preservation and liquidity. This is achieved through investing primarily in short-term securities issued or guaranteed by the U.S. government or its agencies. Specific details would be found in the fund's official documentation.,AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
ADCXX,PNC Money Market Fund,USD,"PNC Money Market Fund is a money market fund offered by PNC. The fund seeks to provide current income while preserving capital and maintaining liquidity. It invests in a variety of short-term, high-quality money market instruments.",,NAS
AEAXX,AB Government Exchange Reserves,USD,"AB Government Exchange Reserves is a money market fund offered by AllianceBernstein. The fund invests primarily in securities issued or guaranteed by the U.S. government or its agencies, aiming to provide current income while maintaining liquidity and capital preservation. It is designed for investors seeking a safe and liquid investment option.",,NAS
AECXX,AB Government Money Market Portfolio,USD,"AB Government Money Market Portfolio is a money market fund offered by AllianceBernstein. The fund invests in short-term U.S. government securities, seeking to provide current income consistent with preserving capital and maintaining liquidity. The portfolio is managed with the goal of maintaining a stable net asset value.","AB Fixed-Income Shares, Inc.",NAS
AEIXX,PNC Tax Exempt Money Market Class Fund,USD,"PNC Tax Exempt Money Market Class Fund is a tax-exempt money market fund offered by PNC. The fund invests in short-term municipal securities, aiming to provide income exempt from federal income taxes while maintaining liquidity and capital preservation. It is designed for investors seeking tax-advantaged income.",,NAS
AEKXX,AB Government Exchange Reserves,USD,"AB Government Exchange Reserves is a money market fund offered by AllianceBernstein. It primarily invests in securities issued or guaranteed by the U.S. government or its agencies. The fund seeks to provide current income, maintain liquidity, and preserve capital for investors.",,NAS
AERXX,PNC Tax Exempt Money Market Class Fund,USD,PNC Tax Exempt Money Market Class Fund is a tax-exempt money market fund offered by PNC. It invests in short-term municipal securities to generate income that is exempt from federal income tax. The fund also aims to maintain liquidity and preserve capital for its investors.,,NAS
AEYXX,AB Government Exchange Reserves,USD,AB Government Exchange Reserves is a money market fund offered by AllianceBernstein that seeks to provide current income while maintaining liquidity and preserving capital. The fund invests primarily in securities issued or guaranteed by the U.S. government or its agencies. It aims to maintain a stable net asset value.,,NAS
AFAXX,American Funds U.S. Government ,USD,"American Funds U.S. Government is a money market fund that invests primarily in short-term U.S. government securities. It aims to provide current income while maintaining liquidity and a stable share price. The fund is managed by American Funds, part of Capital Group.",,NAS
AFCXX,American Funds U.S. Government ,USD,"American Funds U.S. Government is a money market fund focused on investing in short-term U.S. government securities. The fund aims to provide current income while maintaining liquidity and a stable share price for its investors. It is managed by American Funds, which is part of Capital Group.",,NAS
AFFXX,American Funds U.S. Government ,USD,American Funds U.S. Government is a money market fund managed by American Funds (Capital Group). The fund focuses on providing current income while ensuring liquidity and stability of principal through investments in short-term U.S. government securities. It is designed to be a safe and readily accessible investment option.,,NAS
AFGXX,American Funds U.S. Government ,USD,"American Funds U.S. Government is a money market fund managed by American Funds, a part of Capital Group. It invests in short-term U.S. government securities, seeking to provide current income with liquidity and capital preservation. This fund is designed to offer a stable and easily accessible investment option for investors.",,NAS
AGCXX,Invesco Government & Agency Portfolio,USD,"Invesco Government & Agency Portfolio is a money market fund investing primarily in U.S. government and agency securities. The fund aims to provide current income consistent with the preservation of capital and liquidity. Invesco Advisers, Inc. serves as the investment advisor.",Short-Term Investment Trust,NAS
AGGXX,Premium Money Market Fund,USD,"Premium Money Market Fund is a money market fund that seeks to provide current income consistent with preserving capital and maintaining liquidity. The fund invests primarily in high-quality, short-term money market instruments. Specific details regarding the investment advisor and fund management would need to be confirmed via official documentation.",American Century Investment Trust,NAS
AGHXX,Premium Money Market Fund,USD,"Premium Money Market Fund is a money market fund designed to provide current income, capital preservation, and liquidity. The fund typically invests in a diversified portfolio of high-quality, short-term money market instruments. Information on the investment advisor and detailed fund specifics can be found in the fund's official documents.",American Century Investment Trust,NAS
AGPXX,Invesco Government & Agency Portfolio,USD,"Invesco Government & Agency Portfolio is a money market fund managed by Invesco that invests primarily in securities issued or guaranteed by the U.S. government and its agencies. The fund seeks to provide current income consistent with capital preservation and liquidity. Invesco Advisers, Inc. serves as the investment advisor.",Short-Term Investment Trust,NAS
AGQXX,Premium Money Market Fund,USD,"Premium Money Market Fund is a money market fund that aims to provide current income while preserving capital and maintaining liquidity. The fund achieves this by investing primarily in high-quality, short-term money market instruments. Refer to the official fund documentation for details on the investment advisor and specific fund management strategies.",American Century Investment Trust,NAS
AGRXX,Government Reserves Portfolio Fund,USD,Government Reserves Portfolio Fund is a money market fund that seeks to provide current income consistent with the preservation of capital and liquidity. The fund invests primarily in short-term securities issued or guaranteed by the U.S. government or its agencies. Specific details about the investment advisor and management strategy can be found in the fund's official documents.,AllianceBernstein Bond Fund,NAS
AIEXX,AB Government Exchange Reserves,USD,"AB Government Exchange Reserves is a money market fund managed by AllianceBernstein. It invests primarily in securities issued or guaranteed by the U.S. government or its agencies, aiming to provide current income, liquidity, and capital preservation. The fund is structured to maintain a stable net asset value.",,NAS
AIMXX,Government Money Market Fund,USD,"Government Money Market Fund is a money market fund designed to provide investors with current income while maintaining capital preservation and liquidity. The fund typically invests in a portfolio of high-quality, short-term money market instruments issued or guaranteed by the U.S. government and its agencies. Details such as the investment advisor and precise investment strategies can be found in the official fund documentation.",AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
AIOXX,Pioneer Institutional Money Market Fund,USD,"Pioneer Institutional Money Market Fund is a money market fund offered by Pioneer Investments. The fund seeks to provide current income consistent with preservation of capital and liquidity. It invests primarily in high-quality, short-term money market instruments and is designed for institutional investors.",,NAS
AIRXX,Government Money Market Fund,USD,Government Money Market Fund is a money market fund that invests primarily in short-term securities issued or guaranteed by the U.S. government or its agencies. It seeks to provide current income while preserving capital and maintaining liquidity for its investors. Detailed information about the investment advisor and management strategy can be found in the fund's official documents.,AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
AIYXX,Government Money Market Fund,USD,"Government Money Market Fund is a money market fund that seeks to provide current income consistent with capital preservation and liquidity. The fund typically invests in high-quality, short-term securities issued or guaranteed by the U.S. government and its agencies. Specific information regarding the investment advisor and fund management can be found in the official fund documentation.",AIM Investment Securities Funds (Invesco Investment Securities Funds),NAS
AJLXX,JPMorgan Liquid Assets Money Market Fund,USD,"JPMorgan Liquid Assets Money Market Fund is a money market fund managed by JPMorgan Asset Management. It seeks to provide current income consistent with capital preservation and liquidity by investing in high-quality, short-term money market instruments. The fund is designed to offer a stable and easily accessible investment option.",JPMorgan Trust II,NAS
AJTXX,JPMorgan U.S. Treasury Plus Money Market Fund,USD,JPMorgan U.S. Treasury Plus Money Market Fund is a money market fund managed by JPMorgan Asset Management that invests primarily in U.S. Treasury securities. The fund aims to provide current income consistent with capital preservation and liquidity. It is designed for investors seeking a safe and liquid investment.,JPMorgan Trust II,NAS
AMAXX,PIMCO Government Money Market Fund,USD,"PIMCO Government Money Market Fund is a money market fund managed by PIMCO (Pacific Investment Management Company). The fund invests primarily in securities issued or guaranteed by the U.S. government, its agencies, or instrumentalities, seeking to provide current income consistent with the preservation of capital and liquidity. PIMCO is headquartered in Newport Beach, California.",PIMCO Funds,NAS
AMBXX,PNC Money Market Fund,USD,"PNC Money Market Fund is a money market fund offered by PNC. The fund's objective is to provide current income while maintaining liquidity and preserving capital. It achieves this by investing in a diverse portfolio of high-quality, short-term money market instruments.",,NAS
AMDXX,AMF Money Market Fund,USD,,,NAS
AMGXX,PIMCO Government Money Market Fund,USD,"PIMCO Government Money Market Fund is a money market fund managed by PIMCO. The fund invests in securities issued or guaranteed by the U.S. government, its agencies, or instrumentalities, aiming to provide current income, capital preservation, and liquidity. PIMCO is headquartered in Newport Beach, California.",PIMCO Funds,NAS
AMMXX,Thrivent Money Market Fund,USD,"Thrivent Money Market Fund is a money market fund offered by Thrivent Financial. The fund aims to provide a high level of current income consistent with the preservation of capital and liquidity. It invests primarily in high-quality, short-term money market instruments.",Thrivent Mutual Funds,NAS
AOIXX,PNC Ohio Municipal Money Market Fund,USD,PNC Ohio Municipal Money Market Fund is a money market fund offered by PNC that invests primarily in short-term municipal securities. The fund's objective is to provide income exempt from federal and Ohio state income taxes while maintaining liquidity and capital preservation. It caters to investors seeking tax-advantaged income in Ohio.,,NAS
AOMXX,PNC Ohio Municipal Money Market Fund,USD,PNC Ohio Municipal Money Market Fund is a money market fund offered by PNC. The fund invests in short-term municipal securities to provide income that is exempt from both federal and Ohio state income taxes. It also seeks to maintain liquidity and preserve capital for its investors.,,NAS
APAXX,American Beacon Money Market Fund,USD,"American Beacon Money Market Fund is a money market fund that aims to provide current income consistent with capital preservation and liquidity. The fund invests in a diversified portfolio of high-quality, short-term money market instruments. American Beacon Advisors serves as the investment advisor.",,NAS
APCXX,Government Securities Money Market Fund,USD,Government Securities Money Market Fund is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government or its agencies. The fund seeks to provide current income consistent with the preservation of capital and liquidity. The specific fund details can be found in the official documentation.,Cavanal Hill Funds,NAS
APGXX,U.S. Treasury Fund,USD,U.S. Treasury Fund is a money market fund which invests in U.S. Treasury securities. It seeks to provide current income while maintaining capital preservation and liquidity. The specifics of management are in official documentation.,Cavanal Hill Funds,NAS
APHXX,Government Securities Money Market Fund,USD,Government Securities Money Market Fund is a money market fund focused on investing in securities issued or guaranteed by the U.S. government or its agencies. The fund aims to provide current income that aligns with the goals of preserving capital and maintaining liquidity. The fund's prospectus provides the specific details.,Cavanal Hill Funds,NAS
APIXX,PNC Pennsylvania Tax-Exempt Money Market Fund,USD,PNC Pennsylvania Tax-Exempt Money Market Fund is a money market fund offered by PNC. It invests in short-term municipal securities issued by the Commonwealth of Pennsylvania and its political subdivisions to provide income that is exempt from federal and Pennsylvania state income taxes. The fund also seeks to maintain liquidity and preserve capital.,,NAS
APJXX,U.S. Treasury Fund,USD,U.S. Treasury Fund is a money market fund that invests in securities issued by the U.S. Treasury. The fund aims to provide current income while maintaining capital preservation and liquidity. Details about the fund's investment advisor and management strategy can be found in the official documentation.,Cavanal Hill Funds,NAS
APKXX,U.S. Treasury Fund,USD,U.S. Treasury Fund is a money market fund investing primarily in securities issued by the U.S. Treasury. The fund seeks to provide current income consistent with capital preservation and liquidity. Specific details about the investment management and strategy can be found in the fund's official documentation.,Cavanal Hill Funds,NAS
APNXX,U.S. Treasury Fund,USD,U.S. Treasury Fund is a money market fund that focuses its investments on securities issued by the U.S. Treasury. The fund is designed to provide current income while maintaining a high degree of liquidity and preserving capital. Details on management and investment strategies are provided in the fund's official documents.,Cavanal Hill Funds,NAS
APPXX,Government Securities Money Market Fund,USD,Government Securities Money Market Fund is a money market fund that invests in securities issued or guaranteed by the U.S. government or its agencies. The fund aims to provide current income consistent with preserving capital and ensuring liquidity. The fund's official documentation provides specifics on the investment advisor and management strategies.,Cavanal Hill Funds,NAS
APRXX,PNC Pennsylvania Tax-Exempt Money Market Fund,USD,PNC Pennsylvania Tax-Exempt Money Market Fund is a money market fund offered by PNC. The fund invests in short-term municipal securities issued by Pennsylvania and its political subdivisions to generate income exempt from federal and Pennsylvania state income taxes. It also strives to maintain liquidity and preserve capital.,,NAS
APSXX,Government Securities Money Market Fund,USD,Government Securities Money Market Fund is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government or its agencies. It seeks to provide current income while also ensuring capital preservation and maintaining a high degree of liquidity. The fund's prospectus or other official documents offer specific details on investment strategy and management.,Cavanal Hill Funds,NAS
ARBXX,Wilmington Prime Money Market Fund,USD,"Wilmington Prime Money Market Fund is a money market fund that seeks to provide current income consistent with the preservation of capital and liquidity. It invests primarily in high-quality, short-term money market instruments. Wilmington Trust Investment Advisors serves as the investment advisor.",,NAS
ARIXX,PNC Money Market Fund,USD,,,NAS
ARRXX,PNC Money Market Fund,USD,"PNC Money Market Fund is a money market fund provided by PNC. The fund aims to generate current income while maintaining liquidity and protecting capital. It invests in a range of high-quality, short-term money market instruments.",,NAS
ASCXX,Dryden Money Market Fund,USD,"Dryden Money Market Fund is a money market fund managed by Dryden Investment Management. The fund seeks to provide current income while maintaining liquidity and preserving capital. It invests in high-quality, short-term money market instruments.",,NAS
ASIXX,Pioneer Institutional Money Market Fund,USD,"Pioneer Institutional Money Market Fund is a money market fund offered by Pioneer Investments. The fund aims to provide current income while maintaining liquidity and preserving capital. It invests primarily in high-quality, short-term money market instruments and is designed for institutional investors.",,NAS
ASPXX,Pioneer Institutional Money Market Fund,USD,"Pioneer Institutional Money Market Fund is a money market fund offered by Pioneer Investments. It seeks to provide current income, liquidity, and capital preservation for institutional investors. The fund invests mainly in high-quality, short-term money market instruments.",,NAS
ASXXX,Dryden Money Market Fund,USD,"Dryden Money Market Fund is a money market fund that aims to provide current income consistent with capital preservation and liquidity. The fund primarily invests in high-quality, short-term money market instruments. Dryden Investment Management acts as the fund's investment advisor.",,NAS
ATAXX,Fortis Tax-Exempt Money Market Fund,USD,"Fortis Tax-Exempt Money Market Fund seeks to provide income exempt from federal income tax, consistent with preservation of capital and liquidity, by investing in municipal securities. The fund invests primarily in high-quality, short-term municipal obligations. The goal is to provide investors with tax-advantaged income while maintaining a stable net asset value.",,NAS
ATIXX,PNC Treasury Money Market Fund,USD,PNC Treasury Money Market Fund is a money market fund offered by PNC that invests primarily in securities issued by the U.S. Treasury. The fund seeks to provide current income while maintaining liquidity and capital preservation. It's designed for investors looking for a safe and liquid investment option.,,NAS
ATMXX,Fortis Treasury Money Market Fund,USD,Fortis Treasury Money Market Fund seeks to provide current income consistent with preservation of capital and liquidity by investing in U.S. Treasury securities. The fund invests primarily in securities issued or guaranteed by the U.S. Treasury. The fund is managed with the goal of maintaining a stable net asset value.,,NAS
ATRXX,PNC Treasury Money Market Fund,USD,,,NAS
ATXXX,Fortis Money Market Fund,USD,"Fortis Money Market Fund seeks to provide current income consistent with preservation of capital and liquidity. The fund invests primarily in high-quality, short-term money market instruments. The goal is to provide investors with a stable net asset value.",,NAS
AUPXX,American Beacon US Government Money Market Fund,USD,"American Beacon US Government Money Market Fund seeks to provide current income consistent with the preservation of capital and liquidity by investing in U.S. government securities. The fund primarily invests in securities issued or guaranteed by the U.S. government, its agencies or instrumentalities. American Beacon Advisors serves as the investment advisor for the fund.",,NAS
AXBXX,PNC Tax Exempt Money Market Class Fund,USD,PNC Tax Exempt Money Market Class Fund is a tax-exempt money market fund offered by PNC. The fund seeks to provide income exempt from federal income taxes while maintaining liquidity and capital preservation. It invests primarily in short-term municipal securities.,,NAS
BBBXX,Sterling Capital National Tax-Free Money Market Fund,USD,Sterling Capital National Tax-Free Money Market Fund is a money market fund that invests in municipal securities to provide income exempt from federal income taxes. The fund seeks to provide current income consistent with capital preservation and liquidity. Sterling Capital Management serves as the investment advisor.,,NAS
BBHXX,BBH US Treasury Money Fund,USD,BBH US Treasury Money Fund is a money market fund managed by Brown Brothers Harriman (BBH). The fund invests primarily in U.S. Treasury securities and seeks to provide current income while maintaining liquidity and preserving capital. BBH is a privately held financial institution headquartered in New York City.,BBH Trust,NAS
BBSXX,BBH U.S. Government Money Market Fund,USD,BBH U.S. Government Money Market Fund is a money market fund managed by Brown Brothers Harriman (BBH). The fund invests primarily in securities issued or guaranteed by the U.S. government and seeks to provide current income while maintaining liquidity and capital preservation. BBH is a privately held financial institution headquartered in New York City.,BBH Trust,NAS
BBTXX,BBH Tax Exempt Money Fund,USD,BBH Tax Exempt Money Fund is a money market fund managed by Brown Brothers Harriman (BBH) that invests in municipal securities. The fund aims to provide income exempt from federal income taxes while maintaining liquidity and capital preservation. BBH is a privately held financial institution headquartered in New York City.,BBH Trust,NAS
BCHXX,T-Fund,USD,T-Fund is a money market fund whose specifics are not widely available. EMPTY,BlackRock Liquidity Funds,NAS
BCTXX,California Tax-Free Money Market Fund,USD,"California Tax-Free Money Market Fund invests in municipal securities of California, providing income exempt from federal and California state income taxes. The fund emphasizes capital preservation and liquidity, investing primarily in short-term obligations. Its goal is to offer tax-advantaged income to California residents.",American Century California Tax-Free and Municipal Funds,NAS
BEMXX,T-Fund,USD,T-Fund is a money market fund whose specifics are not widely available. EMPTY,BlackRock Liquidity Funds,NAS
BFBXX,FedFund,USD,"FedFund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFCXX,FedFund,USD,"FedFund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFDXX,Federal Trust Fund,USD,"Federal Trust Fund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFFXX,FedFund,USD,"FedFund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFMXX,Federal Trust Fund,USD,"Federal Trust Fund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFRXX,FedFund,USD,"FedFund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BFTXX,Federal Trust Fund,USD,"Federal Trust Fund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BGCXX,U.S.Government Portfolio,USD,U.S.Government Portfolio is a money market fund that invests primarily in securities issued or guaranteed by the U.S. government. The fund's objective is to provide current income consistent with capital preservation and liquidity. Further details about the fund's management and specific strategies are not readily available.,Northern Institutional Funds,NAS
BGSXX,U.S. Government Select Portfolio,USD,U.S. Government Select Portfolio is a money market fund that invests primarily in a selection of securities issued or guaranteed by the U.S. government. The fund aims to provide current income consistent with capital preservation and liquidity. Specific information regarding management and investment strategies is unavailable.,Northern Institutional Funds,NAS
BIAXX,MuniFund,USD,"MuniFund is a municipal money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BICXX,Deutsche Government Cash Management Fund,USD,"Deutsche Government Cash Management Fund is a money market fund managed by DWS Investment Management Americas, Inc. The fund invests primarily in securities issued or guaranteed by the U.S. government, its agencies, or instrumentalities to provide current income consistent with capital preservation and liquidity. The fund is designed for investors seeking a safe and liquid investment option.",Deutsche Money Market Trust,NAS
BITXX,Treasury Trust Fund,USD,Treasury Trust Fund is a money market fund which invests solely in U.S. Treasury securities. EMPTY,BlackRock Liquidity Funds,NAS
BLBXX,California Money Fund,USD,"California Money Fund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BLFXX,FedFund,USD,"FedFund is a money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BLSXX,MuniFund,USD,"MuniFund is a municipal money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BMBXX,MuniFund,USD,"MuniFund is a municipal money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BMCXX,BlackRock Money Market Portfolio,USD,"BlackRock Money Market Portfolio is a money market fund managed by BlackRock. The fund invests primarily in high-quality, short-term money market instruments and seeks to provide current income consistent with the preservation of capital and liquidity. BlackRock is headquartered in New York City.",BlackRock Funds,NAS
BMMXX,BofA Massachusetts Municipal Reserves,USD,BofA Massachusetts Municipal Reserves is a money market fund managed by Bank of America that invests in municipal securities issued by the Commonwealth of Massachusetts and its municipalities. The fund seeks to provide income exempt from federal and Massachusetts state income taxes while maintaining liquidity and capital preservation. It is intended for investors seeking tax-advantaged income in Massachusetts.,BofA Funds Series Trust,NAS
BMPXX,MuniFund,USD,"MuniFund is a municipal money market fund, further information about it is not available. EMPTY",BlackRock Liquidity Funds,NAS
BNBXX,New York Money Fund,USD,,BlackRock Liquidity Funds,NAS
BNGXX,U.S.Government Portfolio,USD,"The U.S. Government Portfolio seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by U.S. government securities. It primarily invests in short-term U.S. Treasury bills, notes, and other obligations issued or guaranteed as to principal and interest by the U.S. government. The fund is managed by Fidelity Investments, a large financial services company headquartered in Boston, Massachusetts.",Northern Institutional Funds,NAS
BNTXX,Tax-Free Money Market Fund,USD,,American Century Municipal Trust,NAS
BPRXX,Prime Money Market Fund,USD,"The Prime Money Market Fund seeks to provide current income while maintaining liquidity and a stable share price by investing primarily in high-quality, short-term money market instruments. This includes securities such as commercial paper, certificates of deposit, and repurchase agreements. The fund's goal is to offer investors a safe and liquid investment option for their short-term cash needs.",American Century Investment Trust,NAS
BPTXX,T-Fund,USD,,BlackRock Liquidity Funds,NAS
BRIXX,Treasury Money Market Fund,USD,,Blackrock Funds III,NAS
BRPXX,FedFund,USD,,BlackRock Liquidity Funds,NAS
BRRXX,TempFund,USD,,BlackRock Liquidity Funds,NAS
BRTXX,TempFund,USD,,BlackRock Liquidity Funds,NAS
BSCXX,U.S. Government Select Portfolio,USD,,Northern Institutional Funds,NAS
BSFXX,,USD,,,NAS
BSLXX,T-Fund,USD,,BlackRock Liquidity Funds,NAS
BTAXX,T-Fund,USD,,BlackRock Liquidity Funds,NAS
BTCXX,Treasury Trust Fund,USD,,BlackRock Liquidity Funds,NAS
BTFXX,Treasury Trust Fund,USD,,BlackRock Liquidity Funds,NAS
BTMXX,TempFund,USD,,BlackRock Liquidity Funds,NAS
BTRXX,T-Fund,USD,,BlackRock Liquidity Funds,NAS
BTVXX,TempFund,USD,,BlackRock Liquidity Funds,NAS
BUCXX,Treasury Trust Fund,USD,,BlackRock Liquidity Funds,NAS
BUPXX,FedFund,USD,,BlackRock Liquidity Funds,NAS
BXBXX,BSY,USD,,Test Money Market Fund GP,NAS
CACXX,Federated Hermes California Municipal Cash Trust,USD,"The Federated Hermes California Municipal Cash Trust seeks to provide current income exempt from federal and California state income taxes, consistent with stability of principal and liquidity, by investing in a portfolio of high-quality, short-term California municipal obligations. The fund is managed by Federated Hermes, a global investment manager headquartered in Pittsburgh, Pennsylvania. The trust aims to provide a tax-advantaged investment option for California residents seeking to preserve capital while earning income.",Money Market Obligations Trust,NAS
CADXX,,USD,,,NAS
CAGXX,Government & Agency Securities Portfolio,USD,,Cash Account Trust,NAS
CAIXX,Federated Hermes California Municipal Cash Trust,USD,"The Federated Hermes California Municipal Cash Trust seeks to provide current income exempt from federal and California state income taxes, consistent with stability of principal and liquidity, by investing in a portfolio of high-quality, short-term California municipal obligations. The fund is managed by Federated Hermes, a global investment manager headquartered in Pittsburgh, Pennsylvania. The trust aims to provide a tax-advantaged investment option for California residents seeking to preserve capital while earning income.",Money Market Obligations Trust,NAS
CALXX,Federated Hermes California Municipal Cash Trust,USD,"The Federated Hermes California Municipal Cash Trust seeks to provide current income exempt from federal and California state income taxes, consistent with stability of principal and liquidity, by investing in a portfolio of high-quality, short-term California municipal obligations. The fund is managed by Federated Hermes, a global investment manager headquartered in Pittsburgh, Pennsylvania. The trust aims to provide a tax-advantaged investment option for California residents seeking to preserve capital while earning income.",Money Market Obligations Trust,NAS
CAPXX,,USD,,,NAS
CCBXX,,USD,,,NAS
CCCXX,Federated Hermes California Municipal Cash Trust,USD,"The Federated Hermes California Municipal Cash Trust seeks to provide current income exempt from federal and California state income taxes, consistent with stability of principal and liquidity, by investing in a portfolio of high-quality, short-term California municipal obligations. The fund is managed by Federated Hermes, a global investment manager headquartered in Pittsburgh, Pennsylvania. The trust aims to provide a tax-advantaged investment option for California residents seeking to preserve capital while earning income.",Money Market Obligations Trust,NAS
CCFXX,American Funds U.S. Government ,USD,,,NAS
CCGXX,,USD,,,NAS
CCRXX,,USD,,,NAS
